음 식 명,eng_name,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
쌀밥,rice,210.00 ,334.80 ,73.71 ,0.00 ,0.45 ,5.76 ,3.60 ,126.00 ,59.40 ,146.70 ,-,0.36 ,1.35 ,0.00 ,0.00 
현미밥,brown rice,230.00 ,351.35 ,77.88 ,0.00 ,1.10 ,6.66 ,6.01 ,178.28 ,42.08 ,209.33 ,0.00 ,1.05 ,1.65 ,0.00 ,0.00 
김치볶음밥,kimchi fried rice,500.00 ,656.98 ,79.29 ,4.00 ,5.06 ,8.74 ,35.89 ,182.12 ,1094.91 ,305.71 ,1.92 ,1.06 ,1.85 ,76.00 ,0.00 
일반비빔밥,bibimbap,500.00 ,703.00 ,95.68 ,3.44 ,25.28 ,22.60 ,96.80 ,289.33 ,1234.09 ,742.51 ,55.80 ,4.75 ,4.16 ,40.20 ,0.00 
카레라이스,curry with rice,500.00 ,653.24 ,92.58 ,0.00 ,10.67 ,13.40 ,27.90 ,218.24 ,1108.55 ,525.62 ,70.18 ,1.98 ,2.66 ,13.75 ,0.00 
유부초밥,yubu chobap,250.00 ,463.21 ,78.47 ,6.77 ,11.23 ,12.37 ,120.18 ,225.59 ,929.07 ,291.50 ,27.28 ,2.11 ,2.14 ,0.00 ,0.00 
일반김밥,kimbap,200.00 ,348.87 ,63.64 ,0.00 ,5.42 ,10.28 ,41.45 ,159.43 ,951.32 ,355.38 ,3.24 ,3.40 ,1.91 ,69.12 ,0.00 
라면,lamen,550.00 ,509.33 ,83.17 ,0.00 ,17.75 ,14.08 ,32.99 ,145.28 ,1695.50 ,374.07 ,0.97 ,1.23 ,1.19 ,2.34 ,0.00 
닭죽,dakjuk,1000.00 ,1181.71 ,92.53 ,0.00 ,48.18 ,75.93 ,116.55 ,584.82 ,789.79 ,1290.97 ,-,9.84 ,5.55 ,271.44 ,0.00 
미역국,Seaweed soup,500.00 ,50.17 ,4.70 ,0.00 ,4.35 ,2.70 ,112.70 ,43.92 ,1527.55 ,658.72 ,-,1.11 ,0.45 ,0.00 ,0.00 
순대국,sundae soup,800.00 ,550.66 ,22.82 ,0.00 ,32.94 ,41.22 ,125.03 ,208.53 ,1532.59 ,592.34 ,-,10.79 ,4.42 ,774.77 ,0.00 
어묵국,Fish cake soup,600.00 ,252.09 ,37.16 ,0.00 ,4.21 ,22.85 ,599.25 ,468.04 ,2022.74 ,1696.27 ,-,6.77 ,2.77 ,100.37 ,0.00 
